sku_id,forecast_12w,avg_weekly_forecast,date,on_hand_units,on_order_units,lead_time_days,reorder_point,category,subcategory,unit_cost,list_price,lead_time_demand,stockout_units_at_risk,stockout_sales_at_risk,excess_units,overstock_capital_locked,weeks_of_cover,risk_category,recommended_action
SKU_0011,383.48340152518546,31.95695012709879,2025-12-28,23,73,7,25,Lighting,Ceiling,3962.93,6537.25,31.95695012709879,8.95695012709879,58553.82221837656,0.0,0.0,3.0,Stockout Risk,Prioritize replenishment
SKU_0012,1959.6470749719078,163.30392291432565,2025-12-28,137,0,6,115,Furniture,Shelf,3666.07,8490.42,139.974791069422,2.974791069421997,25257.22559164191,0.0,0.0,0.84,Stockout Risk,Prioritize replenishment
SKU_0013,788.8455249358198,65.73712707798498,2025-12-28,81,144,13,96,Kitchen,Storage,6708.4,15330.31,122.0832360019721,41.0832360019721,629818.7437133929,0.0,0.0,3.42,Stockout Risk,Prioritize replenishment
SKU_0014,2140.3532140655243,178.3627678387937,2025-12-28,289,0,10,191,Decor,Wall Art,2520.13,5420.16,254.80395405541958,0.0,0.0,0.0,0.0,1.62,Healthy,Maintain current inventory
SKU_0015,2868.285322307401,239.0237768589501,2025-12-28,539,0,5,155,Kitchen,Cookware,356.69,808.12,170.73126918496433,0.0,0.0,0.0,0.0,2.26,Healthy,Maintain current inventory
SKU_0016,1470.5993402426677,122.54994502022231,2025-12-28,288,0,10,159,furniture,Desk,5729.77,12942.42,175.07135002888904,0.0,0.0,0.0,0.0,2.35,Healthy,Maintain current inventory
SKU_0017,823.488561841797,68.62404682014976,2025-12-28,112,0,8,60,Kitchen,Appliance,1376.44,2100.42,78.42748208017115,0.0,0.0,0.0,0.0,1.63,Healthy,Maintain current inventory
SKU_0018,1152.9129688069538,96.07608073391282,2025-12-28,124,158,12,149,Kitchen,Appliance,3927.44,7940.34,164.7018526867077,40.701852686707696,323186.5489623726,0.0,0.0,2.94,Stockout Risk,Prioritize replenishment
SKU_0019,2448.463348852699,204.03861240439156,2025-12-28,149,435,8,222,Furniture,Desk,4562.56,9194.14,233.18698560501892,84.18698560501892,774026.9318305285,0.0,0.0,2.86,Stockout Risk,Prioritize replenishment
SKU_0020,1264.1546359535569,105.3462196627964,2025-12-28,25,180,9,116,Kitchen,Utensil,537.3,1010.33,135.44513956645253,110.44513956645253,111586.03785817398,0.0,0.0,1.95,Stockout Risk,Prioritize replenishment
SKU_0021,714.9138598933293,59.576154991110776,2025-12-28,0,120,8,51,Lighting,Ceiling,6871.2,11387.87,68.08703427555517,68.08703427555517,775366.2950155665,0.0,0.0,2.01,Stockout Risk,Prioritize replenishment
SKU_0022,302.54158137377766,25.211798447814804,2025-12-28,32,0,7,19,Decor,Wall Art,2466.66,4249.94,25.211798447814804,0.0,0.0,0.0,0.0,1.27,Healthy,Maintain current inventory
SKU_0023,5161.9496338204035,430.1624694850336,2025-12-28,346,0,6,278,Decor,Mirror,6336.02,13500.44,368.7106881300288,22.710688130028814,306604.2824581662,0.0,0.0,0.8,Stockout Risk,Prioritize replenishment
SKU_0024,858.7861915517635,71.56551596264696,2025-12-28,101,0,10,77,Kitchen,Appliance,6567.96,10401.48,102.23645137520994,1.2364513752099384,12860.92425021867,0.0,0.0,1.41,Stockout Risk,Prioritize replenishment
SKU_0025,2221.5698841480184,185.13082367900154,2025-12-28,139,294,13,263,Decor,Lamp,5862.17,11185.4,343.8143868324314,204.8143868324314,2290930.842475478,0.0,0.0,2.34,Stockout Risk,Prioritize replenishment
SKU_0026,2049.0382090245357,170.75318408537797,2025-12-28,244,0,4,79,Furniture,Shelf,4158.04,6517.91,97.5732480487874,0.0,0.0,0.0,0.0,1.43,Healthy,Maintain current inventory
SKU_0027,769.7963647746686,64.14969706455572,2025-12-28,141,0,9,79,Decor,Mirror,3233.86,5599.96,82.47818194014307,0.0,0.0,0.0,0.0,2.2,Healthy,Maintain current inventory
SKU_0028,2767.778287094192,230.64819059118267,2025-12-28,323,0,5,152,Decor,Mirror,3085.96,4617.88,164.74870756513047,0.0,0.0,0.0,0.0,1.4,Healthy,Maintain current inventory
SKU_0029,4213.680838389593,351.14006986579943,2025-12-28,421,697,13,511,Decor,Lamp,7296.07,15830.12,652.1172726079133,231.11727260791326,3658614.15945598,0.0,0.0,3.18,Stockout Risk,Prioritize replenishment
SKU_0030,921.8473363806731,76.8206113650561,2025-12-28,78,0,4,36,Lighting,Table Lamp,7762.66,17517.42,43.89749220860348,0.0,0.0,0.0,0.0,1.02,Healthy,Maintain current inventory
SKU_0031,1785.499253211345,148.79160443427875,2025-12-28,122,0,4,77,decor,Mirror,2396.26,3608.84,85.023773962445,0.0,0.0,0.0,0.0,0.82,Healthy,Maintain current inventory
SKU_0032,3765.8988561976944,313.8249046831412,2025-12-28,154,447,14,542,Decor,Rug,3809.48,6181.26,627.6498093662824,473.6498093662824,2927752.6206434267,0.0,0.0,1.92,Stockout Risk,Prioritize replenishment
SKU_0033,1546.2915899701509,128.85763249751258,2025-12-28,87,163,13,217,Kitchen,Appliance,1661.15,3890.87,239.3070317810948,152.3070317810948,592606.8607461082,0.0,0.0,1.94,Stockout Risk,Prioritize replenishment
SKU_0034,4275.122740027198,356.26022833559983,2025-12-28,340,0,5,242,Kitchen,Cookware,5839.86,10951.5,254.47159166828558,0.0,0.0,0.0,0.0,0.95,Healthy,Maintain current inventory
SKU_0035,1844.7784814249594,153.7315401187466,2025-12-28,301,0,12,218,Decor,Mirror,5303.82,7918.01,263.5397830607085,0.0,0.0,0.0,0.0,1.96,Healthy,Maintain current inventory
SKU_0036,3441.8139374348907,286.81782811957424,2025-12-28,374,0,6,192,Kitchen,Utensil,620.43,1205.74,245.8438526739208,0.0,0.0,0.0,0.0,1.3,Healthy,Maintain current inventory
SKU_0037,2311.0825207862026,192.59021006551689,2025-12-28,334,411,14,377,Furniture,Table,1096.2,2243.27,385.18042013103377,51.18042013103377,114811.50106734413,0.0,0.0,3.87,Stockout Risk,Prioritize replenishment
SKU_0038,1153.446910496803,96.12057587473358,2025-12-28,105,0,5,61,Furniture,Desk,7423.42,15137.59,68.65755419623827,0.0,0.0,0.0,0.0,1.09,Healthy,Maintain current inventory
SKU_0039,2758.395566674074,229.8662972228395,2025-12-28,128,292,7,196,Decor,Rug,475.59,1167.3,229.8662972228395,101.8662972228395,118908.52874822055,0.0,0.0,1.83,Stockout Risk,Prioritize replenishment
SKU_0040,3518.884899788228,293.24040831568567,2025-12-28,0,461,5,181,Kitchen,Appliance,6327.06,9433.67,209.45743451120407,209.45743451120407,1975952.3162253106,0.0,0.0,1.57,Stockout Risk,Prioritize replenishment
SKU_0041,2821.933441316193,235.16112010968274,2025-12-28,457,0,3,87,Decor,Rug,7521.26,15259.89,100.78333718986403,0.0,0.0,0.0,0.0,1.94,Healthy,Maintain current inventory
SKU_0042,853.7380884810298,71.14484070675248,2025-12-28,86,0,6,58,Decor,Mirror,2355.71,4157.18,60.98129203435927,0.0,0.0,0.0,0.0,1.21,Healthy,Maintain current inventory
SKU_0043,793.6612162779028,66.13843468982523,2025-12-28,18,165,5,45,Kitchen,Storage,466.41,1076.9,47.241739064160875,29.241739064160875,31490.428798194847,0.0,0.0,2.77,Stockout Risk,Prioritize replenishment
SKU_0044,279.53326563303307,23.294438802752754,2025-12-28,22,51,13,37,Decor,Lamp,1379.92,2772.87,43.26110063368368,21.261100633683682,58954.26811412247,0.0,0.0,3.13,Stockout Risk,Prioritize replenishment
SKU_0045,9599.953062126318,799.9960885105265,2025-12-28,888,0,5,545,Decor,Lamp,2465.5,5240.09,571.425777507519,0.0,0.0,0.0,0.0,1.11,Healthy,Maintain current inventory
SKU_0046,138.92548163770724,11.577123469808937,2025-12-28,12,20,14,19,Kitchen,Storage,6218.59,9443.02,23.154246939617874,11.154246939617874,105329.77693575039,0.0,0.0,2.76,Stockout Risk,Prioritize replenishment
SKU_0047,1156.2085438543963,96.35071198786636,2025-12-28,103,168,13,161,Kitchen,Utensil,588.08,1182.24,178.93703654889467,75.93703654889467,89775.80208956523,0.0,0.0,2.81,Stockout Risk,Prioritize replenishment
SKU_0048,6728.080931912384,560.6734109926987,2025-12-28,128,1074,7,425,Furniture,Shelf,6689.38,15312.5,560.6734109926987,432.6734109926987,6625311.605825699,0.0,0.0,2.14,Stockout Risk,Prioritize replenishment
SKU_0049,1246.1392775442612,103.8449397953551,2025-12-28,171,0,12,150,Lighting,Table Lamp,2540.07,4995.21,178.01989679203731,7.019896792037315,35065.858654552714,0.0,0.0,1.65,Stockout Risk,Prioritize replenishment
SKU_0050,2029.0781581148929,169.08984650957441,2025-12-28,239,0,6,110,Lighting,Outdoor,7507.54,11869.94,144.93415415106378,0.0,0.0,0.0,0.0,1.41,Healthy,Maintain current inventory
SKU_0051,1475.4999090089366,122.95832575074472,2025-12-28,176,0,5,74,Kitchen,Cookware,7941.29,18906.98,87.82737553624622,0.0,0.0,0.0,0.0,1.43,Healthy,Maintain current inventory
SKU_0052,5847.065307511949,487.2554422926624,2025-12-28,757,0,7,412,Decor,Lamp,7159.1,17058.64,487.2554422926624,0.0,0.0,0.0,0.0,1.55,Healthy,Maintain current inventory
SKU_0053,1614.9323873295964,134.57769894413303,2025-12-28,124,240,12,211,Furniture,Shelf,6244.5,13287.22,230.70462676137092,106.70462676137092,1417807.850796223,0.0,0.0,2.7,Stockout Risk,Prioritize replenishment
SKU_0054,2197.0812962133778,183.0901080177815,2025-12-28,50,382,11,263,Decor,Rug,1027.39,2282.31,287.7130268850852,237.71302688508518,542534.8183900987,0.0,0.0,2.36,Stockout Risk,Prioritize replenishment
SKU_0055,731.7959006898476,60.98299172415397,2025-12-28,107,0,7,44,Decor,Rug,2155.47,3308.72,60.98299172415397,0.0,0.0,0.0,0.0,1.75,Healthy,Maintain current inventory
SKU_0056,1466.35165301438,122.19597108453166,2025-12-28,249,0,7,99,Lighting,Ceiling,1480.29,2364.31,122.19597108453165,0.0,0.0,0.0,0.0,2.04,Healthy,Maintain current inventory
SKU_0057,1360.0702864919208,113.3391905409934,2025-12-28,156,0,3,43,Decor,Mirror,1812.55,3156.29,48.573938803282886,0.0,0.0,0.0,0.0,1.38,Healthy,Maintain current inventory
SKU_0058,555.5888405538338,46.29907004615282,2025-12-28,45,0,4,22,Lighting,Outdoor,7783.06,15183.31,26.45661145494447,0.0,0.0,0.0,0.0,0.97,Healthy,Maintain current inventory
SKU_0059,3355.542924608306,279.6285770506922,2025-12-28,662,0,6,219,Decor,Lamp,2068.35,3195.61,239.68163747202183,0.0,0.0,0.0,0.0,2.37,Healthy,Maintain current inventory
SKU_0060,436.904560825063,36.40871340208859,2025-12-28,78,0,5,21,Furniture,Chair,1238.11,2422.94,26.006223858634705,0.0,0.0,0.0,0.0,2.14,Healthy,Maintain current inventory
SKU_0061,945.8538969619905,78.82115808016587,2025-12-28,146,0,7,63,Lighting,Floor Lamp,1838.27,4199.6,78.82115808016587,0.0,0.0,0.0,0.0,1.85,Healthy,Maintain current inventory
SKU_0062,3064.663419031791,255.38861825264925,2025-12-28,449,0,7,208,Kitchen,Cookware,5990.18,9249.82,255.38861825264925,0.0,0.0,0.0,0.0,1.76,Healthy,Maintain current inventory
SKU_0063,790.0483952801839,65.83736627334865,2025-12-28,60,158,13,110,Decor,Lamp,3361.35,5818.64,122.26939450764749,62.26939450764749,362323.189657978,0.0,0.0,3.31,Stockout Risk,Prioritize replenishment
SKU_0064,1671.7918385609346,139.31598654674454,2025-12-28,313,0,11,189,Lighting,Ceiling,5404.05,13246.33,218.92512171631284,0.0,0.0,0.0,0.0,2.25,Healthy,Maintain current inventory
SKU_0065,1682.95320504906,140.246100420755,2025-12-28,331,0,7,130,Kitchen,Appliance,491.42,988.11,140.246100420755,0.0,0.0,0.0,0.0,2.36,Healthy,Maintain current inventory
SKU_0066,4110.93414837167,342.57784569763913,2025-12-28,262,775,6,270,Lighting,Ceiling,1115.41,1733.76,293.63815345511927,31.638153455119266,54852.964934347576,0.0,0.0,3.03,Stockout Risk,Prioritize replenishment
SKU_0067,3091.137579000617,257.5947982500514,2025-12-28,432,0,4,118,Kitchen,Appliance,4889.53,11863.59,147.19702757145794,0.0,0.0,0.0,0.0,1.68,Healthy,Maintain current inventory
SKU_0068,2516.16139912688,209.68011659390666,2025-12-28,212,0,6,148,Lighting,Floor Lamp,3898.84,8824.01,179.72581422334858,0.0,0.0,0.0,0.0,1.01,Healthy,Maintain current inventory
SKU_0069,1478.9792604416061,123.24827170346718,2025-12-28,38,252,13,186,Lighting,Ceiling,6686.6,15222.04,228.8896474492962,190.8896474492962,2905729.849059085,0.0,0.0,2.35,Stockout Risk,Prioritize replenishment
SKU_0070,521.9527958348109,43.496066319567575,2025-12-28,39,76,10,61,Furniture,Table,4386.93,9066.11,62.13723759938225,23.137237599382253,209764.74117213546,0.0,0.0,2.64,Stockout Risk,Prioritize replenishment
SKU_0071,2435.2709605086548,202.93924670905457,2025-12-28,0,459,8,216,Lighting,Outdoor,3476.8,6298.58,231.93056766749095,231.93056766749095,1460833.234899105,0.0,0.0,2.26,Stockout Risk,Prioritize replenishment
SKU_0072,3301.629135524489,275.1357612937074,2025-12-28,360,0,4,118,Kitchen,Utensil,5319.87,12524.25,157.22043502497564,0.0,0.0,0.0,0.0,1.31,Healthy,Maintain current inventory
SKU_0073,210.1972646856787,17.51643872380656,2025-12-28,34,0,11,21,Decor,Rug,2122.3,4712.81,27.525832280267448,0.0,0.0,0.0,0.0,1.94,Healthy,Maintain current inventory
SKU_0074,2260.3972042644614,188.36643368870511,2025-12-28,305,0,10,219,Furniture,Desk,1110.64,1636.21,269.09490526957876,0.0,0.0,0.0,0.0,1.62,Healthy,Maintain current inventory
SKU_0075,223.0983890113061,18.591532417608843,2025-12-28,14,37,8,18,Decor,Mirror,6649.91,11579.94,21.24746562012439,7.247465620124391,83925.21703310324,0.0,0.0,2.74,Stockout Risk,Prioritize replenishment
SKU_0076,660.3160395491129,55.02633662909275,2025-12-28,7,118,10,62,Furniture,Desk,7391.47,11693.93,78.60905232727535,71.60905232727535,837391.245281495,0.0,0.0,2.27,Stockout Risk,Prioritize replenishment
SKU_0077,260.0943930271726,21.674532752264383,2025-12-28,52,0,8,19,Furniture,Table,1189.27,1692.64,24.770894574016438,0.0,0.0,0.0,0.0,2.4,Healthy,Maintain current inventory
SKU_0078,935.4232096169565,77.95193413474637,2025-12-28,96,0,3,27,Furniture,Shelf,1644.74,2399.22,33.40797177203416,0.0,0.0,0.0,0.0,1.23,Healthy,Maintain current inventory
SKU_0079,1801.0042937840608,150.08369114867173,2025-12-28,178,0,3,47,Decor,Mirror,3330.95,5828.46,64.32158192085932,0.0,0.0,0.0,0.0,1.19,Healthy,Maintain current inventory
SKU_0080,2403.933082284559,200.32775685704658,2025-12-28,155,451,7,172,Kitchen,Utensil,7037.54,16441.42,200.32775685704658,45.32775685704658,745252.6881445827,0.0,0.0,3.03,Stockout Risk,Prioritize replenishment
SKU_0081,3263.708815656205,271.97573463801706,2025-12-28,435,0,6,212,Kitchen,Cookware,2122.94,3554.49,233.1220582611575,0.0,0.0,0.0,0.0,1.6,Healthy,Maintain current inventory
SKU_0082,693.3468255426802,57.77890212855669,2025-12-28,84,0,7,43,Furniture,Shelf,3505.22,5097.22,57.77890212855669,0.0,0.0,0.0,0.0,1.45,Healthy,Maintain current inventory
SKU_0083,1067.072807192863,88.92273393273858,2025-12-28,32,175,13,142,Furniture,Table,1082.87,2508.8,165.1422201608002,133.1422201608002,334027.2019394156,0.0,0.0,2.33,Stockout Risk,Prioritize replenishment
SKU_0084,1861.8901315898054,155.15751096581712,2025-12-28,306,0,14,259,Kitchen,Cookware,7421.28,11198.89,310.31502193163425,4.315021931634249,48323.455959959465,0.0,0.0,1.97,Stockout Risk,Prioritize replenishment
SKU_0085,1526.6860806216466,127.22384005180389,2025-12-28,265,0,13,197,Lighting,Outdoor,7842.69,17898.81,236.27284581049295,0.0,0.0,0.0,0.0,2.08,Healthy,Maintain current inventory
SKU_0086,436.46691048928614,36.37224254077385,2025-12-28,68,0,14,59,Lighting,Floor Lamp,5247.12,11842.2,72.7444850815477,4.744485081547694,56185.1412327041,0.0,0.0,1.87,Stockout Risk,Prioritize replenishment
SKU_0087,671.3271487451049,55.943929062092074,2025-12-28,102,0,11,80,Kitchen,Cookware,4259.52,9981.46,87.9118885261447,0.0,0.0,0.0,0.0,1.82,Healthy,Maintain current inventory
SKU_0088,1505.112042345068,125.42600352875566,2025-12-28,47,264,13,177,Kitchen,Utensil,3265.19,6868.39,232.93400655340338,185.93400655340338,1277067.2712713303,0.0,0.0,2.48,Stockout Risk,Prioritize replenishment
SKU_0089,3424.8840975110797,285.4070081259233,2025-12-28,237,468,9,297,Furniture,Table,3979.66,7396.51,366.95186759047283,129.95186759047283,961190.2881516082,0.0,0.0,2.47,Stockout Risk,Prioritize replenishment
SKU_0090,1794.459254953989,149.53827124616575,2025-12-28,90,347,10,200,Furniture,Shelf,3129.84,5643.2,213.62610178023678,123.62610178023678,697646.8175662322,0.0,0.0,2.92,Stockout Risk,Prioritize replenishment
SKU_0091,2195.7080059944774,182.97566716620645,2025-12-28,179,420,13,291,Kitchen,Appliance,5580.22,9634.61,339.8119533086691,160.8119533086691,1549360.4534672366,0.0,0.0,3.27,Stockout Risk,Prioritize replenishment
SKU_0092,1401.4288200368194,116.78573500306828,2025-12-28,120,286,13,194,Decor,Wall Art,7355.88,14189.5,216.8877935771268,96.88779357712681,1374789.346962641,0.0,0.0,3.48,Stockout Risk,Prioritize replenishment
SKU_0093,2970.391171634854,247.53259763623782,2025-12-28,411,0,4,106,Lighting,Table Lamp,6833.92,14473.19,141.44719864927876,0.0,0.0,0.0,0.0,1.66,Healthy,Maintain current inventory
SKU_0094,4096.562329486282,341.3801941238568,2025-12-28,0,466,8,369,Kitchen,Cookware,4401.96,9227.43,390.1487932844078,390.1487932844078,3600070.679616343,0.0,0.0,1.37,Stockout Risk,Prioritize replenishment
SKU_0095,791.5160351072208,65.9596695922684,2025-12-28,83,0,3,20,Furniture,Table,1858.52,4022.35,28.268429825257886,0.0,0.0,0.0,0.0,1.26,Healthy,Maintain current inventory
SKU_0096,3372.585616968256,281.04880141402134,2025-12-28,307,604,11,410,kitchen,Storage,1317.19,2734.25,441.64811650774783,134.64811650774783,368161.6125613095,0.0,0.0,3.24,Stockout Risk,Prioritize replenishment
SKU_0097,2037.807899645781,169.81732497048174,2025-12-28,344,0,13,291,Kitchen,Cookware,950.6,2309.51,315.3750320880375,0.0,0.0,0.0,0.0,2.03,Healthy,Maintain current inventory
SKU_0098,5548.0891319194325,462.34076099328604,2025-12-28,840,0,8,376,Kitchen,Storage,7683.38,17525.58,528.389441135184,0.0,0.0,0.0,0.0,1.82,Healthy,Maintain current inventory
SKU_0099,604.8177057662098,50.40147548051748,2025-12-28,74,0,8,42,Decor,Mirror,6422.38,15674.65,57.60168626344855,0.0,0.0,0.0,0.0,1.47,Healthy,Maintain current inventory
SKU_0100,2590.751705246923,215.89597543724358,2025-12-28,77,272,4,108,Lighting,Ceiling,4843.58,7287.43,123.36912882128205,46.36912882128205,337911.7804460754,0.0,0.0,1.62,Stockout Risk,Prioritize replenishment
SKU_0101,661.2992690769516,55.108272423079306,2025-12-28,16,93,7,46,Kitchen,Storage,4650.12,9438.23,55.108272423079306,39.108272423079306,369112.8700316798,0.0,0.0,1.98,Stockout Risk,Prioritize replenishment
SKU_0102,362.2544888255703,30.187874068797527,2025-12-28,60,0,12,45,Furniture,Table,4324.26,9687.71,51.75064126079576,0.0,0.0,0.0,0.0,1.99,Healthy,Maintain current inventory
SKU_0103,4525.766103727637,377.1471753106364,2025-12-28,258,769,13,564,Lighting,Outdoor,4916.87,11920.26,700.4161827197532,442.41618271975324,5273715.926226966,0.0,0.0,2.72,Stockout Risk,Prioritize replenishment
SKU_0104,901.5102087925245,75.12585073271038,2025-12-28,106,157,12,110,Decor,Wall Art,1201.7,1798.32,128.78717268464635,22.78717268464635,40978.62838225322,0.0,0.0,3.5,Stockout Risk,Prioritize replenishment
SKU_0105,1937.2248605215068,161.4354050434589,2025-12-28,274,0,7,128,Decor,Mirror,6262.27,13390.95,161.43540504345887,0.0,0.0,0.0,0.0,1.7,Healthy,Maintain current inventory
SKU_0106,1029.4247126089608,85.7853927174134,2025-12-28,0,146,3,31,Decor,Mirror,7217.42,16158.25,36.765168307462886,36.765168307462886,594060.7808040621,0.0,0.0,1.7,Stockout Risk,Prioritize replenishment
SKU_0107,1126.8664181145652,93.90553484288044,2025-12-28,210,0,9,97,Kitchen,Appliance,2721.19,4281.45,120.735687655132,0.0,0.0,0.0,0.0,2.24,Healthy,Maintain current inventory
SKU_0108,692.979477298077,57.74828977483975,2025-12-28,84,106,12,87,Decor,Wall Art,7508.18,14128.1,98.99706818543957,14.997068185439574,211880.07903070885,0.0,0.0,3.29,Stockout Risk,Prioritize replenishment
SKU_0109,395.3266632941975,32.94388860784979,2025-12-28,44,0,3,11,Kitchen,Appliance,4558.05,11074.94,14.118809403364196,0.0,0.0,0.0,0.0,1.34,Healthy,Maintain current inventory
SKU_0110,1006.6070656020642,83.88392213350535,2025-12-28,105,105,12,120,Kitchen,Appliance,3991.15,7239.93,143.80100937172347,38.80100937172347,280916.5917806219,0.0,0.0,2.5,Stockout Risk,Prioritize replenishment
SKU_0111,1881.8201973136283,156.8183497761357,2025-12-28,0,187,4,63,Kitchen,Utensil,7624.2,11667.51,89.61048558636325,89.61048558636325,1045531.2366837491,0.0,0.0,1.19,Stockout Risk,Prioritize replenishment
SKU_0112,450.1739094332203,37.51449245276836,2025-12-28,52,0,11,43,Kitchen,Appliance,5205.47,7985.78,58.95134528292171,6.951345282921707,55511.91413345051,0.0,0.0,1.39,Stockout Risk,Prioritize replenishment
SKU_0113,1348.6427983180604,112.38689985983837,2025-12-28,64,0,5,58,Decor,Mirror,394.73,749.89,80.2763570427417,16.276357042741694,12205.477382781568,0.0,0.0,0.57,Stockout Risk,Prioritize replenishment
SKU_0114,482.6271194717973,40.218926622649775,2025-12-28,71,0,14,61,Kitchen,Storage,2574.26,4902.43,80.43785324529956,9.437853245299564,46268.414885353945,0.0,0.0,1.77,Stockout Risk,Prioritize replenishment
SKU_0115,1791.904400815935,149.32536673466126,2025-12-28,51,322,13,213,Decor,Rug,7372.0,16656.47,277.31853822151373,226.31853822151373,3769667.9423304973,0.0,0.0,2.5,Stockout Risk,Prioritize replenishment
SKU_0116,1555.7529586318444,129.64607988598704,2025-12-28,183,175,12,196,Decor,Mirror,7977.17,18882.92,222.25042266169206,39.250422661692056,741162.5910869181,0.0,0.0,2.76,Stockout Risk,Prioritize replenishment
SKU_0117,1276.2060506234943,106.35050421862452,2025-12-28,0,211,10,115,Kitchen,Appliance,1119.43,2797.47,151.92929174089218,151.92929174089218,425017.6357663936,0.0,0.0,1.98,Stockout Risk,Prioritize replenishment
SKU_0118,2189.146416559137,182.42886804659474,2025-12-28,313,0,6,146,Lighting,Ceiling,5305.96,7956.21,156.36760118279548,0.0,0.0,0.0,0.0,1.72,Healthy,Maintain current inventory
SKU_0119,2313.6029116440573,192.80024263700477,2025-12-28,457,0,12,322,Kitchen,Utensil,2154.38,3355.07,330.51470166343677,0.0,0.0,0.0,0.0,2.37,Healthy,Maintain current inventory
SKU_0120,4362.6727972918925,363.55606644099106,2025-12-28,459,0,7,366,Furniture,Desk,1826.17,4385.92,363.55606644099106,0.0,0.0,0.0,0.0,1.26,Healthy,Maintain current inventory
SKU_0121,1193.7156987777798,99.47630823148165,2025-12-28,21,198,9,104,Decor,Mirror,341.81,497.96,127.89811058333355,106.89811058333355,53230.983146076775,0.0,0.0,2.2,Stockout Risk,Prioritize replenishment
SKU_0122,3545.6839509464567,295.47366257887137,2025-12-28,642,0,14,504,Furniture,Desk,6471.41,10758.12,590.9473251577427,0.0,0.0,0.0,0.0,2.17,Healthy,Maintain current inventory
SKU_0123,2963.6889078866866,246.9740756572239,2025-12-28,312,0,7,189,Decor,Wall Art,6467.42,15654.87,246.9740756572239,0.0,0.0,0.0,0.0,1.26,Healthy,Maintain current inventory
SKU_0124,319.29656587597356,26.60804715633113,2025-12-28,27,0,8,26,Furniture,Chair,5675.53,13177.32,30.40919675009272,3.4091967500927183,44924.076518931775,0.0,0.0,1.01,Stockout Risk,Prioritize replenishment
SKU_0125,763.9208238269382,63.66006865224485,2025-12-28,146,0,4,31,Decor,Lamp,1261.91,2467.01,36.37718208699706,0.0,0.0,0.0,0.0,2.29,Healthy,Maintain current inventory
SKU_0126,1265.5142007878128,105.45951673231774,2025-12-28,202,0,11,133,Furniture,Shelf,5151.09,12034.2,165.7220977222136,0.0,0.0,0.0,0.0,1.92,Healthy,Maintain current inventory
SKU_0127,749.4010174951668,62.4500847912639,2025-12-28,62,146,14,120,Decor,Lamp,1786.42,3033.05,124.9001695825278,62.900169582527795,190779.35935228594,0.0,0.0,3.33,Stockout Risk,Prioritize replenishment
SKU_0128,2406.9358550664583,200.57798792220487,2025-12-28,216,0,9,213,Kitchen,Cookware,7847.58,16265.66,257.88598447140623,41.88598447140623,681303.1821771734,0.0,0.0,1.08,Stockout Risk,Prioritize replenishment
